F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
0.12603675,0.2956055,2.1990088,0.23783027,0.36823652,1.2383273,0.60156504,0.2559792,-0.26893081,b
0.11194356,0.2798248,2.4020776,0.22512224,0.35927737,1.3262683,0.61210887,0.25083072,-0.22031928,b
0.12001546,0.28526068,2.2581069,0.24534353,0.37581464,1.1876934,0.6057646,0.24935814,-0.19771862,b
0.10406664,0.27026812,2.5346567,0.22168562,0.35585381,1.3394893,0.61569553,0.24652199,-0.20270239,b
0.10867903,0.27215215,2.4382754,0.23554145,0.36982016,1.2362214,0.61223094,0.24491686,-0.18854319,b
0.23523543,0.3811294,1.1655676,0.15311941,0.30993396,1.9634357,0.46434191,0.29151616,-0.32324677,b
0.092013889,0.25329349,2.745311,0.21738858,0.354155,1.3579232,0.62327745,0.23915635,-0.12793703,b
0.11073473,0.27376621,2.3913623,0.23157077,0.37161213,1.272158,0.60444726,0.23951577,-0.16872592,b
0.22414356,0.38169603,1.2538437,0.14484236,0.29920523,2.0480581,0.468917,0.28347892,-0.38364129,b
0.18291177,0.33421329,1.4804155,0.12541919,0.29811151,2.2764783,0.47654936,0.2582239,-0.59235979,b
0.1871855,0.34151406,1.4664827,0.12315157,0.28998862,2.3106058,0.47643153,0.26327464,-0.5482047,b
0.19581646,0.35189764,1.4193431,0.12660344,0.28942933,2.2682737,0.47670322,0.27114516,-0.48309657,a
0.20646625,0.36264559,1.3542243,0.13214662,0.29096227,2.1915911,0.47426012,0.27908198,-0.42419317,a
0.21092012,0.36915671,1.3313306,0.13325585,0.2893526,2.1800847,0.47489505,0.28219256,-0.39566589,a
0.218647,0.37751178,1.2885667,0.13344574,0.28449655,2.1773777,0.47193315,0.2863359,-0.36986127,a
0.22358449,0.38090793,1.2544374,0.13346693,0.28460661,2.1858569,0.46945657,0.28853752,-0.35125982,a
